Points_0,Pressure_Coefficient,,Points_0,Pressure_Coefficient
1,-0.0192873,,0.9483,0.0617
0.995782,0.0346463,,0.9,0.0513
0.990924,0.0939694,,0.8503,0.0877
0.985337,0.0757499,,0.7998,0.1017
0.978921,0.0808404,,0.7497,0.1074
0.971568,0.0813253,,0.7003,0.1208
0.963157,0.0847291,,0.6502,0.1275
0.95356,0.0877001,,0.5997,0.1627
0.942641,0.0916584,,0.5506,0.1787
0.930255,0.0959331,,0.5,0.2027
0.916256,0.100873,,0.4503,0.2369
0.900496,0.106372,,0.4,0.2621
0.882836,0.112572,,0.3507,0.3031
0.863146,0.119508,,0.3002,0.3522
0.841316,0.127267,,0.2501,0.4122
0.817266,0.135929,,0.2004,0.4922
0.790952,0.145553,,0.1504,0.5984
0.762378,0.156228,,0.1,0.7577
0.731603,0.168021,,0.0755,0.8538
0.69875,0.181035,,0.051,0.9678
0.664007,0.195359,,0.0251,1.0003
0.627628,0.21115,,0.0122,0.7025
0.589933,0.228562,,0,-5.9494
0.551292,0.247801,,0.0135,-5.9727
0.512117,0.269109,,0.0271,-4.477
0.472843,0.292765,,0.0515,-3.2561
0.433912,0.319099,,0.0763,-2.6775
0.395749,0.34843,,0.1012,-2.2702
0.358747,0.381088,,0.1503,-1.7605
0.323253,0.417262,,0.1994,-1.4603
0.289554,0.457081,,0.2501,-1.2253
0.257873,0.50049,,0.2999,-1.0511
0.228367,0.547329,,0.3499,-0.9091
0.201125,0.597219,,0.3994,-0.7981
0.17618,0.649706,,0.4496,-0.687
0.153511,0.70394,,0.4997,-0.5954
0.133057,0.75905,,0.5492,-0.5115
0.114722,0.813725,,0.5994,-0.4372
0.0983855,0.866304,,0.6495,-0.3675
0.0839123,0.914743,,0.6996,-0.299
0.0711583,0.956343,,0.7489,-0.2354
0.0599767,0.987576,,0.8003,-0.1678
0.0502224,1.00389,,0.85,-0.097
0.0417559,0.999424,,0.8993,-0.0368
0.0344451,0.966751,,0.9489,0.0123
0.0281672,0.896357,,,
0.0228094,0.776603,,,
0.0182689,0.59374,,,
0.0144522,0.332522,,,
0.0112752,-0.0223982,,,
0.00866098,-0.483441,,,
0.00653926,-1.05645,,,
0.00484455,-1.73602,,,
0.00351532,-2.5019,,,
0.00249343,-3.32,,,
0.00172462,-4.14862,,,
0.00115919,-4.94756,,,
0.000753189,-5.68443,,,
0.000469128,-6.33875,,,
0.000276236,-6.9024,,,
0.000150079,-7.37987,,,
7.18E-05,-7.77693,,,
2.72E-05,-8.11362,,,
5.82E-06,-8.37294,,,
0,-8.6719,,,
5.82E-06,-8.94136,,,
2.72E-05,-9.11545,,,
7.18E-05,-9.37356,,,
0.000150079,-9.64403,,,
0.000276236,-9.90926,,,
0.000469128,-10.1519,,,
0.000753189,-10.3432,,,
0.00115919,-10.4503,,,
0.00172462,-10.4393,,,
0.00249343,-10.2835,,,
0.00351532,-9.97434,,,
0.00484455,-9.52663,,,
0.00653926,-8.96978,,,
0.00866098,-8.34085,,,
0.0112752,-7.67963,,,
0.0144522,-7.01989,,,
0.0182689,-6.38562,,,
0.0228094,-5.79248,,,
0.0281672,-5.24775,,,
0.0344451,-4.75247,,,
0.0417559,-4.30505,,,
0.0502224,-3.90225,,,
0.0599767,-3.5401,,,
0.0711583,-3.21423,,,
0.0839123,-2.9203,,,
0.0983855,-2.65435,,,
0.114722,-2.41281,,,
0.133057,-2.19255,,,
0.153511,-1.99097,,,
0.17618,-1.80566,,,
0.201125,-1.6346,,,
0.228367,-1.4762,,,
0.257873,-1.32909,,,
0.289554,-1.19218,,,
0.323253,-1.06472,,,
0.358747,-0.945948,,,
0.395749,-0.835475,,,
0.433912,-0.732873,,,
0.472843,-0.638084,,,
0.512117,-0.551107,,,
0.551292,-0.472377,,,
0.589933,-0.402381,,,
0.627628,-0.34185,,,
0.664007,-0.291128,,,
0.69875,-0.250282,,,
0.731603,-0.218632,,,
0.762378,-0.195366,,,
0.790952,-0.179326,,,
0.817266,-0.169691,,,
0.841316,-0.164958,,,
0.863146,-0.163297,,,
0.882836,-0.162397,,,
0.900496,-0.159814,,,
0.916256,-0.154135,,,
0.930255,-0.14493,,,
0.942641,-0.133015,,,
0.95356,-0.119587,,,
0.963157,-0.106192,,,
0.971568,-0.0923766,,,
0.978921,-0.0789423,,,
0.985337,-0.0623845,,,
0.990924,-0.0408653,,,
0.995782,-0.030604,,,
